,_links,awayTeamName,date,homeTeamName,matchday,odds,result,status,real_timestamp,weekday,startingHour,goalsAwayTeam,goalsHomeTeam,halfTime,outcome
188,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153429'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/676'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/673'}}",SC Heerenveen,2017-02-05T15:45:00Z,FC Utrecht,21,"{'homeWin': 1.9, 'draw': 3.4, 'awayWin': 3.9}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 0, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}}",FINISHED,2017-02-05 15:45:00,6,15,0,1,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",1
189,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153428'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/684'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/667'}}",NEC Nijmegen,2017-02-10T19:00:00Z,PEC Zwolle,22,"{'homeWin': 1.83, 'draw': 3.6, 'awayWin': 4.2}","{'goalsHomeTeam': 2, 'goalsAwayTeam': 0, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}}",FINISHED,2017-02-10 19:00:00,4,19,0,2,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 0}",1
190,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153427'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/671'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/665'}}",Roda JC Kerkrade,2017-02-11T17:30:00Z,Heracles Almelo,22,"{'homeWin': 2.05, 'draw': 3.4, 'awayWin': 3.5}","{'goalsHomeTeam': 2, 'goalsAwayTeam': 2, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}}",FINISHED,2017-02-11 17:30:00,5,17,2,2,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 0}",3
191,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153425'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/675'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/677'}}",FC Groningen,2017-02-11T18:45:00Z,Feyenoord Rotterdam,22,"{'homeWin': 1.25, 'draw': 5.5, 'awayWin': 10.0}","{'goalsHomeTeam': 2, 'goalsAwayTeam': 0, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}}",FINISHED,2017-02-11 18:45:00,5,18,0,2,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",1
192,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153426'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/718'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/680'}}",ADO Den Haag,2017-02-11T18:45:00Z,Go Ahead Eagles Deventer,22,"{'homeWin': 2.2, 'draw': 3.25, 'awayWin': 3.3}","{'goalsHomeTeam': 3, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}}",FINISHED,2017-02-11 18:45:00,5,18,1,3,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",1
193,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153424'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/679'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/672'}}",Willem II Tilburg,2017-02-11T19:45:00Z,Vitesse Arnhem,22,"{'homeWin': 1.6, 'draw': 3.7, 'awayWin': 5.8}","{'goalsHomeTeam': 0, 'goalsAwayTeam': 2, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}}",FINISHED,2017-02-11 19:45:00,5,19,2,0,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 0}",2
194,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153423'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/670'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/666'}}",FC Twente Enschede,2017-02-12T11:30:00Z,Excelsior,22,"{'homeWin': 3.2, 'draw': 3.3, 'awayWin': 2.2}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}}",FINISHED,2017-02-12 11:30:00,6,11,1,1,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 1}",3
195,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153609'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/678'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/1085'}}",Sparta Rotterdam,2017-02-12T13:30:00Z,Ajax Amsterdam,22,"{'homeWin': 1.16, 'draw': 7.0, 'awayWin': 17.0}","{'goalsHomeTeam': 2, 'goalsAwayTeam': 0, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}}",FINISHED,2017-02-12 13:30:00,6,13,0,2,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",1
196,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153422'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/673'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/682'}}",AZ Alkmaar,2017-02-12T13:30:00Z,SC Heerenveen,22,"{'homeWin': 2.3, 'draw': 3.3, 'awayWin': 2.9}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 2, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 1}}",FINISHED,2017-02-12 13:30:00,6,13,2,1,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2
197,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153421'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/674'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/676'}}",FC Utrecht,2017-02-12T15:45:00Z,PSV Eindhoven,22,"{'homeWin': 1.3, 'draw': 5.0, 'awayWin': 10.0}","{'goalsHomeTeam': 3, 'goalsAwayTeam': 0, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}}",FINISHED,2017-02-12 15:45:00,6,15,0,3,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 0}",1
